FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/3/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
4.470215	3.250732	-0.002869
4.484863	3.231812	-0.004456
4.500122	3.250732	-0.003510
4.514771	3.288574	-0.004456
4.530029	3.308105	-0.005096
4.545288	3.314209	-0.003510
4.559937	3.320923	-0.003510
4.575195	3.308105	-0.003174
4.589844	3.345947	-0.003174
4.605103	3.365479	-0.004761
4.619751	3.384399	-0.002533
4.635010	3.384399	-0.002869
4.650269	3.403320	-0.003174
4.664917	3.403320	-0.003510
4.680176	3.441772	-0.005096
4.694824	3.435669	-0.003510
4.710083	3.447876	-0.003174
4.724731	3.467407	-0.003815
4.739990	3.486328	-0.003815
4.755249	3.505249	-0.004761
4.769897	3.524780	-0.003510
4.785156	3.549805	-0.003815
4.799805	3.543701	-0.004120
4.815063	3.543701	-0.002533
4.829712	3.562622	-0.004120
4.844971	3.549805	-0.003510
4.860229	3.594360	-0.003815
4.874878	3.594360	-0.003815
4.890137	3.639526	-0.003510
4.904785	3.632812	-0.003174
4.920044	3.639526	-0.004761
4.935303	3.645630	-0.006683
4.949951	3.651733	-0.003815
4.965210	3.677368	-0.005096
4.979858	3.709106	-0.003510
4.995117	3.709106	-0.004761
5.009766	3.753662	-0.003174
5.025024	3.728638	-0.003174
5.040283	3.747559	-0.003815
5.054932	3.753662	-0.004120
5.070190	3.779297	-0.003510
5.084839	3.779297	-0.004456
5.100098	3.804932	-0.004456
5.114746	3.823853	-0.003815
5.130005	3.830566	-0.005096
5.145264	3.843384	-0.004120
5.159912	3.855591	-0.003815
5.175171	3.868408	-0.003815
5.189819	3.868408	-0.003174
5.205078	3.900757	-0.004120
5.219727	3.919678	-0.003815
5.234985	3.925781	-0.005096
5.250244	3.945312	-0.003510
5.264893	3.945312	-0.002533
5.280151	3.970337	-0.004456
5.294800	3.989868	-0.003174
5.310059	3.995972	-0.003815
5.324707	4.002686	-0.002533
5.339966	4.014893	-0.003815
5.355225	4.040527	-0.004456
5.369873	4.053345	-0.004761
5.385132	4.066162	-0.004456
5.399780	4.091797	-0.002228
5.415039	4.085083	-0.003510
5.430298	4.123535	-0.003510
5.444946	4.129639	-0.004120
5.460205	4.123535	-0.004120
5.474854	4.123535	-0.003174
5.490112	4.168091	-0.003815
5.504761	4.142456	-0.004456
5.520020	4.193726	-0.003510
5.535278	4.218750	-0.004120
5.549927	4.225464	-0.004120
5.565186	4.231567	-0.001892
5.579834	4.251099	-0.002869
5.595093	4.270020	-0.004761
5.609741	4.276123	-0.003815
5.625000	4.288940	-0.003510
5.640259	4.288940	-0.001892
5.654907	4.308472	-0.003815
5.670166	4.340210	-0.003174
5.684814	4.340210	-0.004456
5.700073	4.365845	-0.002533
5.714722	4.371948	-0.003174
5.729980	4.384766	-0.001282
5.745239	4.403687	-0.003510
5.759888	4.422607	-0.003815
5.775146	4.422607	-0.001587
5.789795	4.410400	-0.002228
5.805054	4.461060	-0.003815
5.819702	4.467773	-0.003510
5.834961	4.492798	-0.002228
5.850220	4.499512	-0.003174
5.864868	4.499512	-0.004120
5.880127	4.505615	-0.003510
5.894775	4.531250	-0.003815
5.910034	4.569702	-0.003174
5.925293	4.556885	-0.003174
5.939941	4.575806	-0.003510
5.955200	4.588623	-0.003815
5.969849	4.626465	-0.003815
5.985107	4.620361	-0.004456
5.999756	4.633179	-0.002228
6.015015	4.664917	-0.003174
6.030273	4.664917	-0.004761
6.044922	4.677734	-0.003815
6.060181	4.690552	-0.002533
6.074829	4.709473	-0.003815
6.090088	4.735107	-0.003815
6.104736	4.747925	-0.002869
6.119995	4.754028	-0.003510
6.135254	4.766846	-0.003174
6.149902	4.773560	-0.002228
6.165161	4.805298	-0.003174
6.179810	4.805298	-0.002533
6.195068	4.837036	-0.002228
6.209717	4.837036	-0.004761
6.224976	4.849854	-0.003510
6.240234	4.862671	-0.002228
6.254883	4.881592	-0.001282
6.270142	4.875488	-0.002869
6.284790	4.894409	-0.003510
6.300049	4.932251	-0.002869
6.314697	4.932251	-0.002533
6.329956	4.938965	-0.003510
6.345215	4.964600	-0.003815
6.359863	4.964600	-0.003510
6.375122	4.983521	-0.002228
6.389771	5.009155	-0.003510
6.405029	5.034790	-0.004761
6.420288	5.028076	-0.003815
6.434937	5.040894	-0.003174
6.450195	5.066528	-0.002869
6.464844	5.072632	-0.003510
6.480103	5.079346	-0.002869
6.494751	5.098267	-0.003510
6.510010	5.104370	-0.002533
6.525269	5.130005	-0.002228
6.539917	5.148926	-0.003510
6.555176	5.168457	-0.003510
6.569824	5.174561	-0.003510
6.585083	5.174561	-0.004456
6.599731	5.193481	-0.001892
6.614990	5.213013	-0.002228
6.630249	5.225830	-0.002228
6.644897	5.238647	-0.002869
6.660156	5.257568	-0.002228
6.674805	5.250854	-0.002869
6.690063	5.295410	-0.002533
6.704712	5.302124	-0.003174
6.719971	5.314941	-0.003815
6.735229	5.308228	-0.002533
6.749878	5.340576	-0.002869
6.765137	5.359497	-0.003510
6.779785	5.372314	-0.003174
6.795044	5.391235	-0.001892
6.810303	5.404053	-0.004456
6.824951	5.410156	-0.002869
6.840210	5.416870	-0.002533
6.854858	5.442505	-0.002869
6.870117	5.448608	-0.002869
6.884766	5.454712	-0.001282
6.900024	5.474243	-0.002869
6.915283	5.493164	-0.002533
6.929932	5.505981	-0.002228
6.945190	5.531616	-0.002533
6.959839	5.531616	-0.002228
6.975098	5.537720	-0.003174
6.989746	5.563354	-0.003510
7.005005	5.576172	-0.001282
7.020264	5.607910	-0.002533
7.034912	5.582275	-0.002228
7.050171	5.626831	-0.003510
7.064819	5.639648	-0.002228
7.080078	5.639648	-0.003174
7.094727	5.678101	-0.002533
7.109985	5.678101	-0.002869
7.125244	5.684204	-0.002228
7.139893	5.715942	-0.000641
7.155151	5.741577	-0.002869
7.169800	5.741577	-0.003510
7.185059	5.754395	-0.003174
7.199707	5.754395	-0.001587
7.214966	5.754395	-0.001587
7.230225	5.780029	-0.002869
7.244873	5.798950	-0.002533
7.260132	5.830688	-0.004120
7.274780	5.811768	-0.000946
7.290039	5.843506	-0.002228
7.305298	5.869141	-0.002869
7.319946	5.875244	-0.001282
7.335205	5.875244	-0.003510
7.349854	5.907593	-0.003510
7.365112	5.913696	-0.003510
7.379761	5.945435	-0.002533
7.395020	5.952148	-0.002533
7.410278	5.971069	-0.003174
7.424927	5.964355	-0.001892
7.440186	5.989990	-0.002533
7.454834	5.989990	-0.002228
7.470093	6.021729	-0.002869
7.484741	6.034546	-0.002869
7.500000	6.060181	-0.002228
7.515259	6.028442	-0.003174
7.529907	6.085815	-0.002869
7.545166	6.098633	-0.002533
7.559814	6.098633	-0.002228
7.575073	6.130371	-0.002869
7.589722	6.130371	-0.001892
7.604980	6.143188	-0.001892
7.620239	6.187744	-0.003174
7.634888	6.187744	-0.002869
7.650146	6.200562	-0.002533
7.664795	6.219482	-0.002533
7.680054	6.251221	-0.002869
7.694702	6.238403	-0.003174
7.709961	6.257935	-0.001282
7.725220	6.270142	-0.001282
7.739868	6.295776	-0.001587
7.755127	6.302490	-0.002533
7.769775	6.295776	-0.001892
7.785034	6.327515	-0.002228
7.800293	6.353149	-0.002869
7.814941	6.365967	-0.002869
7.830200	6.365967	-0.001282
7.844849	6.384888	-0.004120
7.860107	6.404419	-0.003174
7.874756	6.423340	-0.002228
7.890015	6.423340	-0.001587
7.905273	6.436157	-0.001892
7.919922	6.461792	-0.002533
7.935181	6.480713	-0.001587
7.949829	6.493530	-0.003174
7.965088	6.512451	-0.002228
7.979736	6.531372	-0.002533
7.994995	6.531372	-0.002533
8.010254	6.544189	-0.000946
8.024902	6.550903	-0.002228
8.040161	6.576538	-0.002228
8.054810	6.576538	-0.003174
8.070068	6.614380	-0.002228
8.084717	6.621094	-0.002228
8.099976	6.627197	-0.002533
8.115234	6.646118	-0.002228
8.129883	6.665649	-0.001892
8.145142	6.684570	-0.003510
8.159790	6.684570	-0.001892
8.175049	6.703491	-0.002228
8.189697	6.729126	-0.002228
8.204956	6.729126	-0.002533
8.220215	6.760864	-0.001282
8.234863	6.760864	-0.002533
8.250122	6.805420	-0.002228
8.264771	6.805420	-0.001892
8.280029	6.786499	-0.001282
8.295288	6.843872	-0.002869
8.309937	6.824951	-0.003510
8.325195	6.849976	-0.001587
8.339844	6.862793	-0.002533
8.355103	6.894531	-0.002228
8.369751	6.907349	-0.000946
8.385010	6.926880	-0.002533
8.400269	6.945801	-0.002533
8.414917	6.945801	-0.000946
8.430176	6.958618	-0.000946
8.444824	6.977539	-0.001892
8.460083	6.984253	-0.001282
8.474731	7.003174	-0.000641
8.489990	7.034912	-0.002228
8.505249	7.047729	-0.001282
8.519897	7.053833	-0.002228
8.535156	7.060547	-0.001587
8.549805	7.060547	-0.001892
8.565063	7.079468	-0.001587
8.579712	7.098389	-0.000946
8.594971	7.130737	-0.001892
8.610229	7.143555	-0.001587
8.624878	7.162476	-0.003174
8.640137	7.149658	-0.000946
8.654785	7.194214	-0.001282
8.670044	7.200317	-0.001587
8.685303	7.207031	-0.001587
8.699951	7.232666	-0.002228
8.715210	7.232666	-0.000946
8.729858	7.270508	-0.002228
8.745117	7.270508	-0.000946
8.759766	7.270508	-0.001892
8.775024	7.283325	-0.001587
8.790283	7.296143	-0.001892
8.804932	7.347412	-0.002533
8.820190	7.327881	-0.002869
8.834839	7.359619	-0.002228
8.850098	7.359619	-0.001282
8.864746	7.385254	-0.000305
8.880005	7.398071	-0.001892
8.895264	7.404175	-0.002533
8.909912	7.423706	-0.001892
8.925171	7.423706	-0.000641
8.939819	7.461548	-0.001282
8.955078	7.481079	-0.002228
8.969727	7.487183	-0.002228
8.984985	7.512817	-0.001282
9.000244	7.493896	-0.002533
9.014893	7.557373	-0.001587
9.030151	7.570190	-0.001892
9.044800	7.576294	-0.000946
9.060059	7.570190	0.000000
9.074707	7.601929	-0.000641
9.089966	7.614746	-0.001587
9.105225	7.620850	-0.002228
9.119873	7.653198	-0.000946
9.135132	7.653198	-0.001587
9.149780	7.665405	-0.002533
9.165039	7.672119	-0.000641
9.180298	7.691040	-0.000305
9.194946	7.716675	-0.001587
9.210205	7.697754	-0.001587
9.224854	7.716675	-0.001282
9.240112	7.761230	-0.001282
9.254761	7.761230	-0.002533
9.270020	7.761230	0.000641
9.285278	7.786865	-0.001892
9.299927	7.799683	-0.001282
9.315186	7.831421	0.000000
9.329834	7.844238	-0.000946
9.345093	7.831421	-0.000946
9.359741	7.863159	-0.001892
9.375000	7.901611	-0.000946
9.390259	7.888794	-0.000641
9.404907	7.920532	-0.002228
9.420166	7.926636	-0.000946
9.434814	7.946167	-0.001282
9.450073	7.933350	-0.001587
9.464722	7.971191	-0.001282
9.479980	7.971191	-0.001892
9.495239	8.003540	-0.001587
9.509888	8.016357	-0.001282
9.525146	8.035278	-0.000946
9.539795	8.035278	0.000000
9.555054	8.073120	-0.001282
9.569702	8.079834	0.000000
9.584961	8.073120	-0.000641
9.600220	8.054199	-0.000946
9.614868	8.111572	-0.000946
9.630127	8.130493	-0.000946
9.644775	8.156128	-0.000946
9.660034	8.168945	-0.000305
9.675293	8.156128	-0.000305
9.689941	8.150024	-0.000946
9.705200	8.181763	-0.001587
9.719849	8.226318	-0.000946
9.735107	8.232422	-0.000946
9.749756	8.251953	0.000977
9.765015	8.239136	-0.000305
9.780273	8.283691	-0.000641
9.794922	8.283691	-0.000305
9.810181	8.328247	-0.000946
9.824829	8.334351	-0.000641
9.840088	8.341064	0.000000
9.854736	8.347168	-0.000946
9.869995	8.353882	-0.000641
9.885254	8.379517	-0.001587
9.899902	8.385620	-0.000946
9.915161	8.391724	-0.001282
9.929810	8.404541	0.000641
9.945068	8.436279	-0.001282
9.959717	8.442993	0.000336
9.974976	8.455811	-0.000641
9.990234	8.493652	0.000000
10.004883	8.506470	-0.000305
10.020142	8.513184	-0.000641
10.034790	8.487549	0.000336
10.050049	8.551025	0.000000
10.064697	8.538208	-0.001587
10.079956	8.576660	-0.000641
10.095215	8.583374	0.000000
10.109863	8.576660	-0.001282
10.125122	8.608398	-0.000946
10.139771	8.640137	0.000000
10.155029	8.640137	-0.000946
10.170288	8.659668	0.000641
10.184937	8.665771	-0.000946
10.200195	8.697510	-0.001282
10.214844	8.710327	-0.000946
10.230103	8.723145	-0.000305
10.244751	8.723145	0.000000
10.260010	8.742065	-0.000641
10.275269	8.761597	0.000641
10.289917	8.780518	-0.000641
10.305176	8.767700	-0.000641
10.319824	8.793335	0.001282
10.335083	8.799438	0.000000
