FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/7/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
1.710205	1.205444	0.000000
1.724854	1.224976	0.002228
1.740112	1.250000	0.002563
1.754761	1.243896	0.002228
1.770020	1.269531	0.002869
1.785278	1.237183	0.001923
1.799927	1.275635	0.001923
1.815186	1.301270	0.001282
1.829834	1.288452	0.001587
1.845093	1.339111	0.001923
1.859741	1.339111	0.000977
1.875000	1.345825	0.001282
1.890259	1.377563	0.001923
1.904907	1.339111	0.002228
1.920166	1.377563	0.001923
1.934814	1.409302	0.001587
1.950073	1.416016	0.001587
1.964722	1.409302	0.002228
1.979980	1.447754	0.003845
1.995239	1.453857	0.001587
2.009888	1.447754	0.003204
2.025146	1.479492	0.000000
2.039795	1.473389	0.002563
2.055054	1.473389	0.000641
2.069702	1.517944	0.001282
2.084961	1.498413	0.001587
2.100220	1.530762	0.001923
2.114868	1.511230	0.004150
2.130127	1.530762	0.003510
2.144775	1.568604	0.001923
2.160034	1.542969	0.003204
2.175293	1.575317	0.002869
2.189941	1.568604	0.003845
2.205200	1.587524	0.004150
2.219849	1.575317	0.002228
2.235107	1.625977	0.002228
2.249756	1.619873	0.001282
2.265015	1.632690	0.002228
2.280273	1.651611	0.001923
2.294922	1.683350	0.001923
2.310181	1.670532	0.001923
2.324829	1.670532	0.003204
2.340088	1.715088	0.000977
2.354736	1.702271	0.001587
2.369995	1.702271	0.002563
2.385254	1.734619	0.002869
2.399902	1.753540	0.001282
2.415161	1.766357	0.003204
2.429810	1.746826	0.001923
2.445068	1.810913	0.002869
2.459717	1.810913	0.001282
2.474976	1.759644	0.003845
2.490234	1.823730	0.000977
2.504883	1.836548	0.002228
2.520142	1.881104	0.002228
2.534790	1.829834	0.001282
2.550049	1.861572	0.002563
2.564697	1.868286	0.001282
2.579956	1.887207	0.001587
2.595215	1.887207	0.000977
2.609863	1.925659	0.001282
2.625122	1.938477	0.001587
2.639771	1.957397	0.002228
2.655029	1.970215	0.002869
2.670288	1.970215	0.002228
2.684937	1.963501	0.002563
2.700195	1.957397	0.001587
2.714844	2.001953	0.002563
2.730103	2.027588	0.002228
2.744751	2.014771	0.002228
2.760010	2.046509	0.001282
2.775269	2.059326	0.001923
2.789917	2.084961	0.002869
2.805176	2.072144	0.002228
2.819824	2.072144	0.002869
2.835083	2.084961	0.002228
2.849731	2.116699	0.001282
2.864990	2.142334	0.002563
2.880249	2.167358	0.003204
2.894897	2.148437	0.002228
2.910156	2.142334	0.002228
2.924805	2.192993	0.002563
2.940063	2.186890	0.001282
2.954712	2.180176	0.002228
2.969971	2.218628	0.002228
2.985229	2.237549	0.001587
2.999878	2.218628	0.001923
3.015137	2.276001	0.001282
3.029785	2.282104	0.002563
3.045044	2.301636	0.003510
3.060303	2.307739	0.001923
3.074951	2.301636	0.001587
3.090210	2.313843	0.001282
3.104858	2.333374	0.002869
3.120117	2.339478	0.002563
3.134766	2.346191	0.002228
3.150024	2.371216	0.002563
3.165283	2.346191	0.002228
3.179932	2.371216	0.001923
3.195190	2.403564	0.000977
3.209839	2.396851	0.002228
3.225098	2.415771	0.000336
3.239746	2.435303	0.000977
3.255005	2.435303	0.001587
3.270264	2.467041	0.001587
3.284912	2.485962	0.002228
3.300171	2.485962	0.002228
3.314819	2.492676	0.002228
3.330078	2.517700	0.002563
3.344727	2.511597	0.001923
3.359985	2.550049	0.001923
3.375244	2.543335	0.002228
3.389893	2.556152	0.002228
3.405151	2.575073	0.001923
3.419800	2.619629	0.001282
3.435059	2.568970	0.002869
3.449707	2.600708	0.001587
3.464966	2.645264	0.001587
3.480225	2.645264	0.003204
3.494873	2.645264	0.002563
3.510132	2.639160	0.003204
3.524780	2.702637	0.002869
3.540039	2.683716	0.001923
3.555298	2.715454	0.003204
3.569946	2.702637	0.003204
3.585205	2.734375	0.003204
3.599854	2.734375	0.000641
3.615112	2.741089	0.001923
3.629761	2.766724	0.000641
3.645020	2.766724	0.000641
3.660278	2.791748	0.001923
3.674927	2.778931	0.001923
3.690186	2.811279	0.001923
3.704834	2.804565	0.002869
3.720093	2.811279	0.002228
3.734741	2.836304	0.002228
3.750000	2.900391	0.001923
3.765259	2.880859	0.001282
3.779907	2.874756	0.002228
3.795166	2.887573	0.002563
3.809814	2.925415	0.000641
3.825073	2.932129	0.002228
3.839722	2.919312	0.001923
3.854980	2.938232	0.002228
3.870239	2.976685	0.002228
3.884888	2.982788	0.003204
3.900146	2.982788	0.000000
3.914795	3.008423	0.002869
3.930054	3.027954	0.002228
3.944702	3.008423	0.001923
3.959961	3.021240	0.003204
3.975220	3.091431	0.001587
3.989868	3.072510	0.002228
4.005127	3.084717	0.001587
4.019775	3.091431	0.002228
4.035034	3.129883	0.003204
4.050293	3.117065	0.002228
4.064941	3.123169	0.001923
4.080200	3.154907	0.001282
4.094849	3.123169	0.001282
4.110107	3.154907	0.001282
4.124756	3.180542	0.001282
4.140015	3.218994	0.002869
4.155273	3.193359	0.002869
4.169922	3.212280	0.001587
4.185181	3.237915	0.001587
4.199829	3.269653	0.002869
4.215088	3.269653	0.002563
4.229736	3.263550	0.001923
4.244995	3.308105	0.002563
4.260254	3.308105	0.002228
4.274902	3.320923	0.002228
4.290161	3.314209	0.000336
4.304810	3.314209	0.002563
4.320068	3.352661	0.002228
4.334717	3.371582	0.000641
4.349976	3.384399	0.001587
4.365234	3.397217	0.002228
4.379883	3.428955	0.002228
4.395142	3.435669	0.003204
4.409790	3.410034	0.001282
4.425049	3.428955	0.001282
4.439697	3.435669	0.001587
4.454956	3.460693	0.002563
4.470215	3.499146	0.001923
4.484863	3.511963	0.000977
4.500122	3.511963	0.001923
4.514771	3.537598	0.001923
4.530029	3.549805	0.002228
4.545288	3.537598	0.001923
4.559937	3.562622	0.000336
4.575195	3.613892	0.000336
4.589844	3.619995	0.001587
4.605103	3.626709	0.001282
4.619751	3.601074	0.000641
4.635010	3.645630	0.001282
4.650269	3.664551	0.001923
4.664917	3.664551	0.001282
4.680176	3.645630	0.001923
4.694824	3.690186	0.001282
4.710083	3.684082	0.001587
4.724731	3.721924	0.003510
4.739990	3.715820	0.002869
4.755249	3.715820	0.001587
4.769897	3.734741	0.001282
4.785156	3.760376	0.003204
4.799805	3.766479	0.002563
4.815063	3.798828	0.001587
4.829712	3.811035	0.000977
4.844971	3.817749	0.003204
4.860229	3.811035	0.001587
4.874878	3.798828	0.002228
4.890137	3.868408	0.002228
4.904785	3.887939	0.001923
4.920044	3.919678	0.002563
4.935303	3.894043	0.000336
4.949951	3.964233	0.001923
4.965210	3.938599	0.003204
4.979858	3.938599	0.002228
4.995117	3.964233	0.001923
5.009766	3.970337	0.004150
5.025024	3.964233	0.001923
5.040283	3.995972	0.002228
5.054932	4.008789	0.002563
5.070190	4.002686	0.002869
5.084839	4.027710	0.001923
5.100098	4.040527	0.002228
5.114746	4.104614	0.002563
5.130005	4.097900	0.003510
5.145264	4.059448	0.001587
5.159912	4.136353	0.001923
5.175171	4.116821	0.002563
5.189819	4.123535	0.001282
5.205078	4.123535	0.001282
5.219727	4.110718	0.001587
5.234985	4.149170	0.001587
5.250244	4.199829	0.002563
5.264893	4.231567	0.002563
5.280151	4.225464	0.001923
5.294800	4.187012	0.002228
5.310059	4.225464	0.001923
5.324707	4.231567	0.001587
5.339966	4.308472	0.001282
5.355225	4.276123	0.002563
5.369873	4.282837	0.000641
5.385132	4.295654	0.001587
5.399780	4.333496	0.001587
5.415039	4.282837	0.002228
5.430298	4.340210	0.000977
5.444946	4.371948	0.002228
5.460205	4.359131	0.001282
5.474854	4.371948	0.001923
5.490112	4.410400	0.002228
5.504761	4.429321	0.001282
5.520020	4.416504	0.002869
5.535278	4.442139	0.001282
5.549927	4.448242	0.001587
5.565186	4.473877	0.001587
5.579834	4.467773	0.001587
5.595093	4.479980	0.002869
5.609741	4.499512	0.001282
5.625000	4.518433	0.001587
5.640259	4.512329	0.001587
5.654907	4.544067	0.001923
5.670166	4.531250	0.002563
5.684814	4.544067	0.001923
5.700073	4.601440	0.001587
5.714722	4.569702	0.002869
5.729980	4.620361	0.001587
5.745239	4.677734	0.001923
5.759888	4.614258	0.001282
5.775146	4.658813	0.001923
5.789795	4.633179	0.000000
5.805054	4.671631	0.001282
5.819702	4.683838	0.003204
5.834961	4.716187	0.002228
5.850220	4.683838	0.001282
5.864868	4.722290	0.001282
5.880127	4.766846	0.001923
5.894775	4.754028	0.002563
5.910034	4.760742	0.001923
5.925293	4.818115	0.002228
5.939941	4.824219	0.001587
5.955200	4.849854	0.003845
5.969849	4.811401	0.000641
5.985107	4.849854	0.002228
5.999756	4.862671	0.001282
6.015015	4.887695	0.001587
6.030273	4.862671	0.002563
6.044922	4.900513	0.003204
6.060181	4.887695	0.002563
6.074829	4.920044	0.001923
6.090088	4.945068	0.001587
6.104736	4.913330	0.000977
6.119995	4.951782	0.001587
6.135254	4.983521	0.001282
6.149902	4.970703	0.001587
6.165161	5.002441	0.000977
6.179810	5.002441	0.002563
6.195068	5.034790	0.002228
6.209717	5.002441	0.003510
6.224976	5.066528	0.001923
6.240234	5.072632	0.003204
6.254883	5.104370	0.001587
6.270142	5.104370	0.002228
6.284790	5.072632	0.001587
6.300049	5.136719	0.002563
6.314697	5.148926	0.002228
6.329956	5.161743	0.001282
6.345215	5.155640	0.002563
6.359863	5.181274	0.001587
6.375122	5.193481	0.001587
6.389771	5.206299	0.001587
6.405029	5.200195	0.001587
6.420288	5.225830	0.002228
6.434937	5.244751	0.001923
6.450195	5.283203	0.000641
6.464844	5.257568	0.002563
6.480103	5.289307	0.000977
