FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/7/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
1.829834	1.294556	0.008301
1.845093	1.333008	0.007965
1.859741	1.320190	0.007965
1.875000	1.307373	0.007965
1.890259	1.371460	0.007324
1.904907	1.390381	0.008301
1.920166	1.351929	0.007019
1.934814	1.396484	0.007965
1.950073	1.403198	0.007324
1.964722	1.358643	0.007324
1.979980	1.409302	0.007019
1.995239	1.434937	0.007324
2.009888	1.473389	0.007019
2.025146	1.473389	0.008301
2.039795	1.460571	0.008606
2.055054	1.473389	0.008301
2.069702	1.511230	0.008606
2.084961	1.485596	0.007965
2.100220	1.505127	0.007019
2.114868	1.530762	0.008301
2.130127	1.524048	0.006683
2.144775	1.536865	0.008301
2.160034	1.562500	0.008301
2.175293	1.568604	0.007324
2.189941	1.619873	0.008301
2.205200	1.555786	0.008301
2.219849	1.619873	0.008301
2.235107	1.625977	0.007660
2.249756	1.638794	0.008301
2.265015	1.638794	0.008301
2.280273	1.664429	0.009247
2.294922	1.651611	0.007324
2.310181	1.664429	0.006683
2.324829	1.664429	0.006683
2.340088	1.702271	0.007965
2.354736	1.721802	0.007660
2.369995	1.727905	0.007019
2.385254	1.734619	0.007019
2.399902	1.753540	0.008606
2.415161	1.791992	0.008301
2.429810	1.746826	0.006378
2.445068	1.772461	0.006378
2.459717	1.817017	0.007019
2.474976	1.817017	0.008301
2.490234	1.804199	0.007324
2.504883	1.829834	0.008606
2.520142	1.810913	0.008301
2.534790	1.823730	0.006683
2.550049	1.842651	0.007019
2.564697	1.881104	0.007965
2.579956	1.881104	0.007965
2.595215	1.893921	0.007965
2.609863	1.925659	0.007660
2.625122	1.963501	0.007324
2.639771	1.950684	0.008301
2.655029	1.963501	0.007660
2.670288	1.995850	0.007324
2.684937	1.976318	0.007965
2.700195	1.989136	0.007965
2.714844	1.989136	0.007965
2.730103	2.020874	0.008301
2.744751	2.001953	0.006378
2.760010	2.033691	0.006378
2.775269	2.052612	0.007660
2.789917	2.072144	0.008942
2.805176	2.059326	0.007324
2.819824	2.091064	0.009552
2.835083	2.122803	0.007324
2.849731	2.116699	0.007965
2.864990	2.116699	0.008606
2.880249	2.122803	0.007324
2.894897	2.161255	0.006683
2.910156	2.192993	0.007324
2.924805	2.180176	0.008301
2.940063	2.224731	0.007660
2.954712	2.186890	0.008606
2.969971	2.211914	0.008942
2.985229	2.174072	0.007660
2.999878	2.244263	0.007965
3.015137	2.250366	0.008606
3.029785	2.250366	0.007965
3.045044	2.250366	0.008301
3.060303	2.288818	0.010193
3.074951	2.276001	0.007965
3.090210	2.301636	0.008301
3.104858	2.313843	0.007965
3.120117	2.333374	0.007965
3.134766	2.365112	0.007324
3.150024	2.371216	0.007660
3.165283	2.377930	0.007324
3.179932	2.396851	0.008606
3.195190	2.396851	0.006683
3.209839	2.409668	0.007660
3.225098	2.428589	0.008301
3.239746	2.415771	0.007324
3.255005	2.479858	0.007965
3.270264	2.454224	0.006378
3.284912	2.485962	0.009247
3.300171	2.473145	0.008942
3.314819	2.467041	0.008942
3.330078	2.505493	0.006683
3.344727	2.492676	0.007660
3.359985	2.511597	0.009247
3.375244	2.562866	0.007324
3.389893	2.556152	0.007965
3.405151	2.575073	0.008301
3.419800	2.575073	0.007965
3.435059	2.600708	0.006683
3.449707	2.607422	0.008301
3.464966	2.600708	0.006683
3.480225	2.645264	0.008301
3.494873	2.645264	0.008942
3.510132	2.658081	0.007019
3.524780	2.670898	0.008301
3.540039	2.670898	0.008606
3.555298	2.696533	0.007324
3.569946	2.702637	0.008301
3.585205	2.721558	0.007965
3.599854	2.772827	0.008606
3.615112	2.741089	0.007660
3.629761	2.760010	0.007660
3.645020	2.766724	0.007965
3.660278	2.791748	0.007965
3.674927	2.785645	0.008942
3.690186	2.811279	0.007965
3.704834	2.861938	0.008301
3.720093	2.798462	0.008301
3.734741	2.849121	0.007965
3.750000	2.861938	0.009247
3.765259	2.887573	0.008606
3.779907	2.874756	0.007660
3.795166	2.868652	0.007019
3.809814	2.900391	0.007660
3.825073	2.919312	0.009247
3.839722	2.919312	0.007324
3.854980	2.938232	0.009247
3.870239	2.970581	0.007324
3.884888	2.976685	0.007965
3.900146	2.970581	0.008606
3.914795	2.995605	0.006683
3.930054	3.008423	0.008942
3.944702	3.027954	0.006683
3.959961	3.052979	0.008301
3.975220	3.065796	0.007660
3.989868	3.104248	0.007660
4.005127	3.065796	0.008606
4.019775	3.065796	0.008606
4.035034	3.084717	0.007660
4.050293	3.148804	0.009552
4.064941	3.110352	0.010193
4.080200	3.186646	0.009552
4.094849	3.135986	0.007965
4.110107	3.180542	0.008942
4.124756	3.174438	0.008301
4.140015	3.174438	0.007324
4.155273	3.206177	0.007660
4.169922	3.237915	0.007324
4.185181	3.256836	0.007324
4.199829	3.231812	0.007019
4.215088	3.244019	0.007660
4.229736	3.244019	0.007019
4.244995	3.301392	0.009247
4.260254	3.301392	0.006683
4.274902	3.320923	0.007019
4.290161	3.314209	0.008942
4.304810	3.339844	0.008301
4.320068	3.371582	0.007965
4.334717	3.365479	0.007019
4.349976	3.365479	0.008606
4.365234	3.390503	0.007660
4.379883	3.365479	0.007965
4.395142	3.410034	0.007660
4.409790	3.428955	0.006073
4.425049	3.454590	0.007019
4.439697	3.435669	0.008606
4.454956	3.447876	0.007660
4.470215	3.460693	0.007660
4.484863	3.518066	0.007660
4.500122	3.505249	0.008301
4.514771	3.499146	0.007965
4.530029	3.486328	0.006683
4.545288	3.537598	0.008606
4.559937	3.556519	0.007019
4.575195	3.594360	0.009247
4.589844	3.537598	0.007965
4.605103	3.607178	0.007019
4.619751	3.613892	0.007019
4.635010	3.632812	0.007660
4.650269	3.619995	0.008301
4.664917	3.639526	0.009552
4.680176	3.639526	0.007660
4.694824	3.639526	0.008606
4.710083	3.715820	0.007660
4.724731	3.696899	0.007660
4.739990	3.715820	0.008301
4.755249	3.734741	0.008606
4.769897	3.728638	0.009888
4.785156	3.753662	0.008606
4.799805	3.786011	0.008606
4.815063	3.766479	0.008301
4.829712	3.836670	0.006683
4.844971	3.804932	0.007019
4.860229	3.817749	0.008301
4.874878	3.862305	0.007324
4.890137	3.849487	0.007965
4.904785	3.836670	0.007324
4.920044	3.881226	0.007965
4.935303	3.887939	0.008301
4.949951	3.925781	0.007965
4.965210	3.925781	0.007660
4.979858	3.995972	0.007965
4.995117	3.938599	0.008301
5.009766	3.932495	0.007324
5.025024	3.957520	0.007660
5.040283	3.970337	0.008606
5.054932	3.970337	0.007019
5.070190	4.008789	0.007324
5.084839	4.047241	0.007965
5.100098	4.034424	0.006378
5.114746	4.034424	0.008942
5.130005	4.072266	0.007965
5.145264	4.078979	0.007324
5.159912	4.116821	0.007965
5.175171	4.104614	0.008942
5.189819	4.142456	0.008606
5.205078	4.149170	0.007660
5.219727	4.149170	0.009888
5.234985	4.161377	0.008301
5.250244	4.161377	0.006683
5.264893	4.168091	0.006378
5.280151	4.174194	0.007660
5.294800	4.225464	0.007019
5.310059	4.212646	0.007965
5.324707	4.199829	0.007660
5.339966	4.263306	0.008606
5.355225	4.276123	0.008942
5.369873	4.263306	0.007660
5.385132	4.263306	0.007324
5.399780	4.282837	0.008301
5.415039	4.346313	0.007324
5.430298	4.333496	0.007660
5.444946	4.365845	0.007660
5.460205	4.353027	0.006683
5.474854	4.384766	0.008606
5.490112	4.390869	0.008942
5.504761	4.390869	0.007019
5.520020	4.390869	0.007019
5.535278	4.422607	0.007965
5.549927	4.442139	0.008942
5.565186	4.442139	0.007965
5.579834	4.454956	0.009552
5.595093	4.467773	0.009552
5.609741	4.467773	0.007324
5.625000	4.486694	0.008606
5.640259	4.492798	0.007019
5.654907	4.518433	0.008301
5.670166	4.524536	0.007660
5.684814	4.537354	0.007965
5.700073	4.569702	0.007660
5.714722	4.601440	0.009247
5.729980	4.639282	0.006683
5.745239	4.626465	0.008301
5.759888	4.633179	0.006378
5.775146	4.633179	0.007019
5.789795	4.677734	0.008942
5.805054	4.658813	0.007660
5.819702	4.696655	0.007965
5.834961	4.709473	0.007324
5.850220	4.728394	0.008301
5.864868	4.683838	0.008301
5.880127	4.741211	0.007660
5.894775	4.754028	0.008606
5.910034	4.760742	0.007324
5.925293	4.773560	0.007965
5.939941	4.811401	0.006683
5.955200	4.785767	0.007660
5.969849	4.830322	0.008942
5.985107	4.830322	0.007324
5.999756	4.837036	0.007019
6.015015	4.875488	0.007660
6.030273	4.862671	0.008301
