FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/7/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
1.754761	1.250000	0.003204
1.770020	1.243896	0.003845
1.785278	1.301270	0.001587
1.799927	1.250000	0.002228
1.815186	1.275635	0.003845
1.829834	1.281738	0.004150
1.845093	1.301270	0.003845
1.859741	1.307373	0.004791
1.875000	1.307373	0.004456
1.890259	1.345825	0.003845
1.904907	1.377563	0.002869
1.920166	1.345825	0.003510
1.934814	1.403198	0.004150
1.950073	1.422119	0.003845
1.964722	1.390381	0.004150
1.979980	1.409302	0.004150
1.995239	1.447754	0.003845
2.009888	1.434937	0.003510
2.025146	1.453857	0.004150
2.039795	1.479492	0.003845
2.055054	1.485596	0.003510
2.069702	1.485596	0.003845
2.084961	1.498413	0.003845
2.100220	1.511230	0.003204
2.114868	1.536865	0.004791
2.130127	1.524048	0.002563
2.144775	1.549683	0.004791
2.160034	1.555786	0.004150
2.175293	1.600342	0.004150
2.189941	1.594238	0.004456
2.205200	1.581421	0.004150
2.219849	1.568604	0.003204
2.235107	1.607056	0.005432
2.249756	1.644897	0.003510
2.265015	1.638794	0.005096
2.280273	1.625977	0.004791
2.294922	1.689453	0.003845
2.310181	1.677246	0.003845
2.324829	1.670532	0.003845
2.340088	1.715088	0.005432
2.354736	1.740723	0.003204
2.369995	1.696167	0.003204
2.385254	1.740723	0.003204
2.399902	1.759644	0.003204
2.415161	1.791992	0.005432
2.429810	1.772461	0.003510
2.445068	1.779175	0.003845
2.459717	1.798096	0.003845
2.474976	1.798096	0.002869
2.490234	1.829834	0.005432
2.504883	1.836548	0.003510
2.520142	1.842651	0.003204
2.534790	1.861572	0.003845
2.550049	1.861572	0.003510
2.564697	1.855469	0.002563
2.579956	1.881104	0.003204
2.595215	1.881104	0.002869
2.609863	1.912842	0.003510
2.625122	1.938477	0.004150
2.639771	1.963501	0.004456
2.655029	1.957397	0.004456
2.670288	1.989136	0.003845
2.684937	1.963501	0.003845
2.700195	2.001953	0.004150
2.714844	2.033691	0.004150
2.730103	2.014771	0.003204
2.744751	2.008057	0.003510
2.760010	2.046509	0.003510
2.775269	2.027588	0.003510
2.789917	2.052612	0.003204
2.805176	2.122803	0.004456
2.819824	2.103882	0.003510
2.835083	2.109985	0.003845
2.849731	2.135620	0.004456
2.864990	2.154541	0.003204
2.880249	2.148437	0.003204
2.894897	2.154541	0.003845
2.910156	2.180176	0.002563
2.924805	2.167358	0.003510
2.940063	2.167358	0.004456
2.954712	2.211914	0.003845
2.969971	2.224731	0.002228
2.985229	2.211914	0.003845
2.999878	2.237549	0.003845
3.015137	2.237549	0.002563
3.029785	2.301636	0.003510
3.045044	2.263184	0.003845
3.060303	2.294922	0.004791
3.074951	2.269287	0.002228
3.090210	2.313843	0.003204
3.104858	2.333374	0.001923
3.120117	2.365112	0.004456
3.134766	2.377930	0.003845
3.150024	2.365112	0.003845
3.165283	2.390747	0.005432
3.179932	2.384033	0.003845
3.195190	2.384033	0.003204
3.209839	2.435303	0.000336
3.225098	2.403564	0.002869
3.239746	2.428589	0.004150
3.255005	2.441406	0.003845
3.270264	2.467041	0.003510
3.284912	2.479858	0.003204
3.300171	2.492676	0.001923
3.314819	2.492676	0.004150
3.330078	2.524414	0.003845
3.344727	2.537231	0.004150
3.359985	2.524414	0.004150
3.375244	2.543335	0.003845
3.389893	2.581787	0.003845
3.405151	2.575073	0.003510
3.419800	2.619629	0.003510
3.435059	2.568970	0.002228
3.449707	2.581787	0.002869
3.464966	2.639160	0.002228
3.480225	2.619629	0.004456
3.494873	2.658081	0.002228
3.510132	2.670898	0.005096
3.524780	2.639160	0.003510
3.540039	2.683716	0.003845
3.555298	2.709351	0.003204
3.569946	2.709351	0.004456
3.585205	2.741089	0.003845
3.599854	2.734375	0.004150
3.615112	2.778931	0.004150
3.629761	2.747192	0.003204
3.645020	2.785645	0.003845
3.660278	2.791748	0.003845
3.674927	2.804565	0.002563
3.690186	2.785645	0.004150
3.704834	2.823486	0.004791
3.720093	2.843018	0.004150
3.734741	2.855835	0.002869
3.750000	2.849121	0.003510
3.765259	2.906494	0.004150
3.779907	2.868652	0.003845
3.795166	2.893677	0.004456
3.809814	2.893677	0.003845
3.825073	2.919312	0.004456
3.839722	2.976685	0.004150
3.854980	2.963867	0.004456
3.870239	2.982788	0.004456
3.884888	2.982788	0.002563
3.900146	2.970581	0.003510
3.914795	2.970581	0.003845
3.930054	2.995605	0.002563
3.944702	3.059692	0.002563
3.959961	3.046875	0.004456
3.975220	3.046875	0.003204
3.989868	3.078613	0.002563
4.005127	3.091431	0.004150
4.019775	3.084717	0.001923
4.035034	3.117065	0.003510
4.050293	3.129883	0.003845
4.064941	3.154907	0.004456
4.080200	3.135986	0.004150
4.094849	3.142090	0.004456
4.110107	3.186646	0.003845
4.124756	3.206177	0.003510
4.140015	3.180542	0.003845
4.155273	3.231812	0.003845
4.169922	3.244019	0.003510
4.185181	3.256836	0.002869
4.199829	3.269653	0.002563
4.215088	3.244019	0.003845
4.229736	3.276367	0.003510
4.244995	3.295288	0.004150
4.260254	3.301392	0.003204
4.274902	3.327026	0.003845
4.290161	3.345947	0.002563
4.304810	3.314209	0.004150
4.320068	3.371582	0.004150
4.334717	3.365479	0.003845
4.349976	3.358765	0.003510
4.365234	3.403320	0.003845
4.379883	3.416138	0.004456
4.395142	3.397217	0.002563
4.409790	3.441772	0.003204
4.425049	3.467407	0.003845
4.439697	3.416138	0.003510
4.454956	3.486328	0.005096
4.470215	3.473511	0.004150
4.484863	3.543701	0.004456
4.500122	3.505249	0.002563
4.514771	3.537598	0.004150
4.530029	3.556519	0.004456
4.545288	3.569336	0.004150
4.559937	3.569336	0.004150
4.575195	3.582153	0.003510
4.589844	3.556519	0.003845
4.605103	3.626709	0.004150
4.619751	3.607178	0.004456
4.635010	3.613892	0.002563
4.650269	3.632812	0.002869
4.664917	3.645630	0.004456
4.680176	3.690186	0.004456
4.694824	3.671265	0.002869
4.710083	3.690186	0.003845
4.724731	3.741455	0.002563
4.739990	3.715820	0.003845
4.755249	3.741455	0.004150
4.769897	3.747559	0.004456
4.785156	3.741455	0.003510
4.799805	3.747559	0.004150
4.815063	3.804932	0.004791
4.829712	3.830566	0.004150
4.844971	3.836670	0.004150
4.860229	3.855591	0.003204
4.874878	3.811035	0.005096
4.890137	3.811035	0.002563
4.904785	3.900757	0.006683
4.920044	3.862305	0.003204
4.935303	3.868408	0.003845
4.949951	3.900757	0.003510
4.965210	3.906860	0.004150
4.979858	3.957520	0.003204
4.995117	3.977051	0.005432
5.009766	3.970337	0.003845
5.025024	3.957520	0.003845
5.040283	3.977051	0.003204
5.054932	4.027710	0.003845
5.070190	4.040527	0.003204
5.084839	4.014893	0.003845
5.100098	4.040527	0.004791
5.114746	4.034424	0.003204
5.130005	4.072266	0.003845
5.145264	4.085083	0.004456
5.159912	4.078979	0.004150
5.175171	4.097900	0.003845
5.189819	4.129639	0.004150
5.205078	4.155273	0.004456
5.219727	4.129639	0.004791
5.234985	4.161377	0.004791
5.250244	4.180908	0.003845
5.264893	4.193726	0.004456
5.280151	4.218750	0.004150
5.294800	4.231567	0.004456
5.310059	4.251099	0.004456
5.324707	4.244385	0.002563
5.339966	4.244385	0.003845
5.355225	4.270020	0.003510
5.369873	4.288940	0.003510
5.385132	4.308472	0.003510
5.399780	4.327393	0.002869
5.415039	4.327393	0.003845
5.430298	4.353027	0.004456
5.444946	4.390869	0.003510
5.460205	4.378052	0.003204
5.474854	4.340210	0.004456
5.490112	4.435425	0.002228
5.504761	4.384766	0.003845
5.520020	4.416504	0.004150
5.535278	4.435425	0.002563
5.549927	4.435425	0.003845
5.565186	4.479980	0.003510
5.579834	4.467773	0.003204
5.595093	4.479980	0.003845
5.609741	4.524536	0.002869
5.625000	4.524536	0.004150
5.640259	4.531250	0.004150
5.654907	4.518433	0.004150
5.670166	4.524536	0.003845
5.684814	4.562988	0.004150
5.700073	4.562988	0.002869
5.714722	4.588623	0.002869
5.729980	4.652100	0.003845
5.745239	4.607544	0.003845
5.759888	4.620361	0.002869
5.775146	4.620361	0.003510
5.789795	4.658813	0.003510
5.805054	4.683838	0.003510
5.819702	4.671631	0.004150
5.834961	4.703369	0.004791
5.850220	4.735107	0.002563
5.864868	4.735107	0.004456
5.880127	4.741211	0.004791
5.894775	4.754028	0.004150
5.910034	4.779663	0.005096
5.925293	4.798584	0.003845
5.939941	4.805298	0.003845
5.955200	4.805298	0.002563
5.969849	4.849854	0.003510
5.985107	4.862671	0.003510
5.999756	4.837036	0.002869
6.015015	4.868774	0.003510
6.030273	4.875488	0.004791
6.044922	4.855957	0.003510
6.060181	4.900513	0.003510
6.074829	4.932251	0.003204
6.090088	4.938965	0.003845
6.104736	4.938965	0.003845
6.119995	4.938965	0.004791
6.135254	4.983521	0.003845
6.149902	4.983521	0.003204
6.165161	4.964600	0.004150
6.179810	5.040894	0.003510
6.195068	5.034790	0.003845
6.209717	5.028076	0.003204
6.224976	5.040894	0.004150
6.240234	5.072632	0.003204
6.254883	5.079346	0.003845
6.270142	5.117187	0.004150
6.284790	5.117187	0.003204
6.300049	5.130005	0.005096
6.314697	5.168457	0.003845
6.329956	5.130005	0.003204
6.345215	5.168457	0.003845
6.359863	5.142822	0.004150
6.375122	5.174561	0.002563
6.389771	5.174561	0.003510
6.405029	5.200195	0.002563
6.420288	5.238647	0.003204
6.434937	5.270386	0.002869
6.450195	5.283203	0.002869
6.464844	5.308228	0.003510
6.480103	5.257568	0.004150
6.494751	5.289307	0.003510
6.510010	5.327759	0.002228
6.525269	5.314941	0.004150
6.539917	5.327759	0.003845
6.555176	5.352783	0.003845
6.569824	5.372314	0.004791
6.585083	5.372314	0.004456
6.599731	5.365601	0.003204
6.614990	5.385132	0.003510
6.630249	5.435791	0.004150
6.644897	5.454712	0.003845
6.660156	5.435791	0.003845
6.674805	5.474243	0.003510
6.690063	5.487061	0.003204
6.704712	5.505981	0.004150
6.719971	5.499268	0.003510
6.735229	5.531616	0.002228
6.749878	5.563354	0.004456
6.765137	5.518799	0.003845
6.779785	5.569458	0.002563
6.795044	5.563354	0.004791
6.810303	5.595093	0.004791
6.824951	5.601196	0.003510
6.840210	5.639648	0.002869
6.854858	5.652466	0.002563
6.870117	5.658569	0.003510
6.884766	5.652466	0.003845
6.900024	5.684204	0.003845
6.915283	5.722656	0.004456
6.929932	5.703735	0.003510
6.945190	5.748291	0.004150
6.959839	5.722656	0.003510
6.975098	5.754395	0.002869
6.989746	5.748291	0.003510
7.005005	5.780029	0.004150
7.020264	5.780029	0.004150
7.034912	5.798950	0.004150
7.050171	5.843506	0.003510
7.064819	5.830688	0.004456
7.080078	5.830688	0.003845
7.094727	5.837402	0.005432
7.109985	5.881958	0.002869
7.125244	5.888062	0.003510
7.139893	5.881958	0.003845
7.155151	5.913696	0.003845
7.169800	5.939331	0.005096
7.185059	5.958252	0.002563
7.199707	5.952148	0.003510
7.214966	5.983887	0.003845
7.230225	5.977173	0.003845
7.244873	5.989990	0.003204
7.260132	6.021729	0.003204
7.274780	6.021729	0.002563
7.290039	6.041260	0.004456
7.305298	6.021729	0.004150
7.319946	6.066284	0.002563
7.335205	6.104736	0.002228
7.349854	6.079102	0.005096
7.365112	6.104736	0.002869
7.379761	6.098633	0.005096
7.395020	6.162109	0.004791
7.410278	6.123657	0.004150
7.424927	6.162109	0.004150
7.440186	6.187744	0.003845
7.454834	6.181030	0.003204
7.470093	6.213379	0.003845
7.484741	6.238403	0.005096
7.500000	6.245117	0.003845
7.515259	6.251221	0.004150
7.529907	6.264038	0.004791
7.545166	6.251221	0.003845
7.559814	6.282959	0.003845
7.575073	6.282959	0.003204
7.589722	6.340332	0.004150
7.604980	6.327515	0.004150
7.620239	6.347046	0.003510
7.634888	6.347046	0.002563
7.650146	6.378784	0.003510
7.664795	6.429443	0.003510
7.680054	6.410522	0.003204
7.694702	6.417236	0.003204
7.709961	6.436157	0.004456
7.725220	6.461792	0.002869
7.739868	6.480713	0.003204
7.755127	6.480713	0.003510
7.769775	6.480713	0.004150
7.785034	6.499634	0.003845
7.800293	6.512451	0.003204
7.814941	6.525269	0.003845
7.830200	6.544189	0.002869
7.844849	6.557007	0.005096
7.860107	6.538086	0.003204
7.874756	6.569824	0.003204
7.890015	6.588745	0.002563
7.905273	6.621094	0.003845
7.919922	6.627197	0.004456
7.935181	6.608276	0.004456
7.949829	6.665649	0.004150
7.965088	6.621094	0.004150
7.979736	6.710205	0.003845
7.994995	6.690674	0.004791
8.010254	6.773682	0.003510
8.024902	6.723022	0.002563
8.040161	6.723022	0.003510
8.054810	6.767578	0.003204
8.070068	6.780396	0.003204
8.084717	6.799316	0.003204
8.099976	6.792603	0.001923
8.115234	6.805420	0.003845
8.129883	6.824951	0.004150
8.145142	6.862793	0.004456
8.159790	6.843872	0.004456
8.175049	6.856689	0.003510
8.189697	6.894531	0.003204
8.204956	6.914062	0.003845
8.220215	6.932983	0.003510
8.234863	6.926880	0.003204
8.250122	6.926880	0.003204
8.264771	6.971436	0.004456
8.280029	6.932983	0.002563
8.295288	6.977539	0.004791
8.309937	7.003174	0.004150
8.325195	6.996460	0.004791
8.339844	7.022095	0.002869
8.355103	7.066650	0.003845
8.369751	7.047729	0.004791
8.385010	7.073364	0.003204
8.400269	7.073364	0.003845
8.414917	7.098389	0.002869
8.430176	7.117920	0.003510
8.444824	7.149658	0.004456
8.460083	7.136841	0.003845
8.474731	7.149658	0.003204
8.489990	7.181396	0.003204
8.505249	7.188110	0.003510
8.519897	7.200317	0.004150
8.535156	7.232666	0.002563
8.549805	7.251587	0.003845
8.565063	7.251587	0.003845
8.579712	7.270508	0.004456
8.594971	7.283325	0.003845
8.610229	7.270508	0.004150
8.624878	7.296143	0.003510
8.640137	7.308960	0.003510
8.654785	7.340698	0.003845
8.670044	7.347412	0.004456
8.685303	7.353516	0.003845
8.699951	7.372437	0.004150
8.715210	7.366333	0.004456
8.729858	7.398071	0.003204
8.745117	7.391968	0.004150
8.759766	7.461548	0.004150
8.775024	7.442627	0.003204
8.790283	7.487183	0.005096
8.804932	7.481079	0.003510
8.820190	7.481079	0.003845
8.834839	7.538452	0.003510
8.850098	7.525635	0.004456
8.864746	7.525635	0.003845
8.880005	7.538452	0.004150
8.895264	7.557373	0.003845
8.909912	7.595825	0.002563
8.925171	7.589111	0.003845
8.939819	7.608643	0.002563
8.955078	7.640381	0.002228
8.969727	7.646484	0.003845
8.984985	7.653198	0.003204
9.000244	7.678223	0.004150
9.014893	7.691040	0.003845
9.030151	7.729492	0.004456
9.044800	7.710571	0.002563
9.060059	7.691040	0.004456
9.074707	7.716675	0.004456
9.089966	7.748413	0.002869
9.105225	7.748413	0.003510
9.119873	7.780151	0.003204
9.135132	7.774048	0.003510
9.149780	7.818604	0.003845
9.165039	7.831421	0.002228
9.180298	7.818604	0.002869
9.194946	7.850342	0.003204
9.210205	7.863159	0.004456
9.224854	7.863159	0.004456
9.240112	7.933350	0.003510
9.254761	7.901611	0.002563
9.270020	7.920532	0.004791
9.285278	7.920532	0.004791
9.299927	7.914429	0.004456
9.315186	7.952271	0.003510
9.329834	7.977905	0.002563
9.345093	7.939453	0.003204
9.359741	8.016357	0.003204
9.375000	7.996826	0.002228
9.390259	8.009644	0.003510
9.404907	8.079834	0.002563
9.420166	8.085937	0.003204
9.434814	8.067017	0.004150
9.450073	8.048096	0.004150
9.464722	8.098755	0.004150
9.479980	8.130493	0.003204
