FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/7/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
1.694946	1.192627	0.010529
1.710205	1.218262	0.011169
1.724854	1.205444	0.011475
1.740112	1.218262	0.009247
1.754761	1.262817	0.009888
1.770020	1.237183	0.009247
1.785278	1.269531	0.009888
1.799927	1.256714	0.009552
1.815186	1.288452	0.009552
1.829834	1.269531	0.010193
1.845093	1.294556	0.011169
1.859741	1.326904	0.011475
1.875000	1.358643	0.011780
1.890259	1.377563	0.010193
1.904907	1.377563	0.009247
1.920166	1.339111	0.010529
1.934814	1.339111	0.010529
1.950073	1.396484	0.009552
1.964722	1.396484	0.010529
1.979980	1.403198	0.007660
1.995239	1.422119	0.010529
2.009888	1.473389	0.009888
2.025146	1.466675	0.010193
2.039795	1.441040	0.009888
2.055054	1.479492	0.009552
2.069702	1.473389	0.010834
2.084961	1.517944	0.010193
2.100220	1.511230	0.011169
2.114868	1.485596	0.009247
2.130127	1.505127	0.009552
2.144775	1.549683	0.012421
2.160034	1.587524	0.009247
2.175293	1.568604	0.010529
2.189941	1.581421	0.010834
2.205200	1.587524	0.011475
2.219849	1.562500	0.002563
2.235107	1.613159	0.001282
2.249756	1.638794	-0.000305
2.265015	1.632690	0.000977
2.280273	1.664429	-0.001587
2.294922	1.644897	-0.000305
2.310181	1.638794	0.001282
2.324829	1.664429	0.005432
2.340088	1.696167	0.005737
2.354736	1.721802	0.005432
2.369995	1.689453	0.005737
2.385254	1.766357	0.004456
2.399902	1.766357	0.002563
2.415161	1.740723	0.001923
2.429810	1.779175	0.000641
2.445068	1.766357	-0.000305
2.459717	1.766357	0.000336
2.474976	1.791992	0.001282
2.490234	1.829834	0.003510
2.504883	1.810913	0.001923
2.520142	1.817017	0.003510
2.534790	1.881104	0.004791
2.550049	1.881104	0.004791
2.564697	1.874390	0.002228
2.579956	1.881104	0.001923
2.595215	1.893921	0.001587
2.609863	1.906128	0.001282
2.625122	1.912842	0.001282
2.639771	1.918945	0.001923
2.655029	1.938477	0.004150
2.670288	1.989136	0.003845
2.684937	1.995850	0.004791
2.700195	1.970215	0.004791
2.714844	1.983032	0.004456
2.730103	2.020874	0.002563
2.744751	2.033691	0.000336
2.760010	2.033691	0.001587
2.775269	2.059326	0.001923
2.789917	2.033691	0.002228
2.805176	2.052612	0.001587
2.819824	2.084961	0.003845
