FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/7/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
1.455078	1.040039	0.004150
1.469727	1.046143	0.003510
1.484985	1.033325	0.004150
1.500244	1.065674	0.003510
1.514893	1.097412	0.003845
1.530151	1.058960	0.003510
1.544800	1.090698	0.003204
1.560059	1.116333	0.003845
1.574707	1.129150	0.003845
1.589966	1.135254	0.003510
1.605225	1.129150	0.004791
1.619873	1.129150	0.003845
1.635132	1.141968	0.003510
1.649780	1.179810	0.003510
1.665039	1.167603	0.003510
1.680298	1.186523	0.003510
1.694946	1.231079	0.002228
1.710205	1.218262	0.003845
1.724854	1.243896	0.004791
1.740112	1.231079	0.003510
1.754761	1.262817	0.003510
1.770020	1.256714	0.003510
1.785278	1.281738	0.003204
1.799927	1.250000	0.003204
1.815186	1.275635	0.004456
1.829834	1.269531	0.005096
1.845093	1.320190	0.003204
1.859741	1.320190	0.003845
1.875000	1.307373	0.002563
1.890259	1.358643	0.004791
1.904907	1.403198	0.004791
1.920166	1.396484	0.002563
1.934814	1.422119	0.003204
1.950073	1.428833	0.003845
1.964722	1.422119	0.003845
1.979980	1.409302	0.004150
1.995239	1.441040	0.003204
2.009888	1.441040	0.003510
2.025146	1.460571	0.003510
2.039795	1.485596	0.004791
2.055054	1.466675	0.003845
2.069702	1.517944	0.003204
2.084961	1.530762	0.004150
2.100220	1.530762	0.004456
2.114868	1.549683	0.003204
2.130127	1.568604	0.002869
2.144775	1.555786	0.002563
2.160034	1.549683	0.003204
2.175293	1.607056	0.003510
2.189941	1.600342	0.003510
2.205200	1.581421	0.003510
2.219849	1.607056	0.004150
2.235107	1.632690	0.003204
2.249756	1.613159	0.003845
2.265015	1.644897	0.002228
2.280273	1.670532	0.003510
2.294922	1.670532	0.002563
2.310181	1.677246	0.003204
2.324829	1.702271	0.003204
2.340088	1.683350	0.002563
2.354736	1.734619	0.001587
2.369995	1.746826	0.003845
2.385254	1.746826	0.003845
2.399902	1.734619	0.003845
2.415161	1.766357	0.004150
2.429810	1.772461	0.003204
2.445068	1.785278	0.004791
2.459717	1.817017	0.003204
2.474976	1.817017	0.002869
2.490234	1.842651	0.004150
2.504883	1.836548	0.003845
2.520142	1.842651	0.004150
2.534790	1.836548	0.002563
2.550049	1.868286	0.003845
2.564697	1.868286	0.003510
2.579956	1.900024	0.002563
2.595215	1.906128	0.003204
2.609863	1.944580	0.004150
2.625122	1.950684	0.003204
2.639771	1.944580	0.002228
2.655029	1.976318	0.004456
2.670288	2.008057	0.002563
2.684937	1.976318	0.004150
2.700195	1.976318	0.003845
2.714844	2.001953	0.004456
2.730103	2.040405	0.003845
2.744751	2.033691	0.002563
2.760010	2.033691	0.003845
2.775269	2.065430	0.003510
2.789917	2.084961	0.004456
2.805176	2.052612	0.001282
2.819824	2.103882	0.002869
2.835083	2.103882	0.002869
2.849731	2.097778	0.001282
2.864990	2.148437	0.003510
2.880249	2.129517	0.002228
2.894897	2.161255	0.002563
2.910156	2.180176	0.004150
2.924805	2.180176	0.004150
2.940063	2.211914	0.003204
2.954712	2.186890	0.002563
2.969971	2.186890	0.003510
2.985229	2.250366	0.003204
2.999878	2.244263	0.003510
3.015137	2.250366	0.004150
3.029785	2.256470	0.002563
3.045044	2.269287	0.003845
3.060303	2.313843	0.003510
3.074951	2.307739	0.003845
3.090210	2.333374	0.004150
3.104858	2.313843	0.003510
3.120117	2.313843	0.002563
3.134766	2.346191	0.003510
3.150024	2.409668	0.003510
3.165283	2.390747	0.003845
3.179932	2.365112	0.003510
3.195190	2.415771	0.004150
3.209839	2.415771	0.003204
3.225098	2.377930	0.003510
3.239746	2.441406	0.003845
3.255005	2.448120	0.003845
3.270264	2.448120	0.003204
3.284912	2.473145	0.003510
3.300171	2.492676	0.002869
3.314819	2.479858	0.004791
3.330078	2.505493	0.004150
3.344727	2.550049	0.003845
3.359985	2.511597	0.003845
3.375244	2.530518	0.002563
3.389893	2.568970	0.003510
3.405151	2.613525	0.005096
3.419800	2.587891	0.004150
3.435059	2.600708	0.003510
3.449707	2.562866	0.003510
3.464966	2.639160	0.003204
3.480225	2.645264	0.003204
3.494873	2.651978	0.002563
3.510132	2.632446	0.002228
3.524780	2.702637	0.001587
3.540039	2.689819	0.004150
3.555298	2.683716	0.003845
3.569946	2.702637	0.003845
3.585205	2.728271	0.003845
3.599854	2.734375	0.003510
3.615112	2.741089	0.003845
3.629761	2.766724	0.005432
3.645020	2.804565	0.003204
3.660278	2.798462	0.004150
3.674927	2.804565	0.003510
3.690186	2.804565	0.003204
3.704834	2.836304	0.003510
3.720093	2.836304	0.003510
3.734741	2.868652	0.002228
3.750000	2.868652	0.002563
3.765259	2.887573	0.004791
3.779907	2.893677	0.004456
3.795166	2.887573	0.004150
3.809814	2.925415	0.003204
3.825073	2.919312	0.004456
3.839722	2.963867	0.002563
3.854980	2.957764	0.002563
3.870239	3.027954	0.002563
3.884888	2.989502	0.003204
3.900146	2.976685	0.003845
3.914795	3.040161	0.003510
3.930054	3.027954	0.003845
3.944702	3.015137	0.003204
3.959961	3.059692	0.003845
3.975220	3.097534	0.003204
3.989868	3.059692	0.002563
4.005127	3.091431	0.005432
4.019775	3.078613	0.003510
4.035034	3.123169	0.003845
4.050293	3.123169	0.005096
4.064941	3.110352	0.002228
4.080200	3.167725	0.004150
4.094849	3.180542	0.002228
4.110107	3.193359	0.003510
4.124756	3.206177	0.004150
4.140015	3.218994	0.002869
4.155273	3.231812	0.003845
4.169922	3.250732	0.003510
4.185181	3.231812	0.003204
4.199829	3.282471	0.001923
4.215088	3.295288	0.004456
4.229736	3.288574	0.003845
4.244995	3.282471	0.003845
4.260254	3.314209	0.004150
4.274902	3.327026	0.003510
4.290161	3.308105	0.005096
4.304810	3.378296	0.002563
4.320068	3.333740	0.003204
4.334717	3.371582	0.003204
4.349976	3.371582	0.002563
4.365234	3.403320	0.003510
4.379883	3.397217	0.004150
4.395142	3.416138	0.004456
4.409790	3.410034	0.003510
4.425049	3.486328	0.003845
4.439697	3.467407	0.004456
4.454956	3.486328	0.004456
4.470215	3.467407	0.004456
4.484863	3.518066	0.004150
4.500122	3.511963	0.003845
4.514771	3.524780	0.003204
